ITEM	NUM	BIN	HEX
1	-39	1111011001	FFFFFFD9
2	-36	1111011100	FFFFFFDC
3	8	      1000	8
4	34	    100010	22
5	17	     10001	11
6	49	    110001	31
7	5	       101	5
8	0	         0	0
9	33	    100001	21
10	12	      1100	C
11	-6	1111111010	FFFFFFFA
12	27	     11011	1B
13	-4	1111111100	FFFFFFFC
14	-38	1111011010	FFFFFFDA
15	26	     11010	1A
16	29	     11101	1D
17	42	    101010	2A
18	-16	1111110000	FFFFFFF0
19	20	     10100	14
20	25	     11001	19
21	45	    101101	2D
22	3	        11	3
23	-46	1111010010	FFFFFFD2
24	-5	1111111011	FFFFFFFB
25	-50	1111001110	FFFFFFCE

Execution time: 0.00026726722717285156s.
